Evaluation Layer,Architecture / Method,Background Context,Joy (%),Sadness (%),Anger (%),Fear (%),Disgust (%),Surprise (%),Macro Average (%)
Individual Model,Qwen2-VL-2B-Instruct,Original,100.0,100.0,40.8,5.4,19.1,4.0,44.9
Individual Model,Qwen2-VL-2B-Instruct,Black,96.1,95.0,39.7,6.3,18.7,4.7,43.4
Individual Model,Phi-3.5-vision-instruct,Original,100.0,100.0,60.3,8.2,37.3,5.2,51.8
Individual Model,Phi-3.5-vision-instruct,Black,73.1,73.0,48.0,11.1,30.3,9.0,40.8
Individual Model,Idefics2-8b,Original,100.0,100.0,50.1,3.1,30.9,5.0,48.2
Individual Model,Idefics2-8b,Black,63.6,61.0,33.3,10.0,27.0,10.7,34.3
Context Average,All Models Combined (Original),Original,100.0,100.0,50.4,5.6,29.1,4.7,48.3
Context Average,All Models Combined (Black),Black,77.6,76.3,40.3,9.1,25.3,8.1,39.5
Ensemble System,Model Majority Ensemble (MME),Original,100.0,100.0,69.2,3.0,24.0,0.7,49.5
